id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51100958,Perfect location,5567174,Nigit,,Central,51.45617,-2.60648,Private room,39,1,12,2022-11-13,0.82,5,359,9,
51100977,Beautiful bright double  in bohemian Montpelier,24365222,Liz,,Ashley,51.46589,-2.58657,Private room,62,2,31,2022-12-04,1.81,1,174,19,
51119304,"Self contained flat, easy commute to City UWE hosp",254358117,Sherry,,Frome Vale,51.48962,-2.53685,Entire home/apt,60,1,29,2022-12-18,1.71,1,249,12,
51151071,Top floor spacious room in friendly neighbourhood,26694910,Marcin,,Bishopston & Ashley Down,51.47988,-2.58253,Private room,57,1,27,2022-11-27,2.08,1,356,23,
51167267,Short Stay Bristol - Stapleton 1 Apartment,90684209,Neil,,Easton,51.46841,-2.56456,Entire home/apt,65,1,8,2021-12-31,0.48,16,89,1,
51170094,Lovely 1-bedroom apartment near stokes Croft,390194768,Marianna,,Ashley,51.4646,-2.58562,Entire home/apt,86,1,12,2022-07-24,0.74,4,360,4,
51201143,Your Apartment I Elmgrove Place,125651447,Your Apartment,,Cotham,51.46811,-2.5968,Entire home/apt,202,1,4,2022-09-07,0.25,67,350,2,
51227720,Lovely 3-bed house in vibrant Southville area,2229500,Simon,,Bedminster,51.43799,-2.60604,Entire home/apt,125,2,11,2022-09-02,0.65,1,189,7,
51275260,Private lrg double in Edwardian townhouse (Room 4),30898394,Matt,,Frome Vale,51.48092,-2.5268,Private room,42,1,2,2022-05-16,0.23,3,89,2,
51275261,Private double in Edwardian townhouse (Room 2),30898394,Matt,,Frome Vale,51.48202,-2.52662,Private room,40,1,57,2022-11-28,3.31,3,90,29,
51277087,Beautiful 2 bedroom Garden flat with own parking,275753132,Karen,,Clifton Down,51.46356,-2.61089,Entire home/apt,220,3,28,2022-12-11,1.68,1,361,18,
51282786,Georgian En-suite private Bedroom Near City Centre,415275955,Sandy,,Ashley,51.46652,-2.58785,Private room,67,1,76,2022-12-04,4.44,6,335,51,
51283816,Southville - Home from Home - 3 bed terrace,4426998,Sarah,,Southville,51.44358,-2.61229,Entire home/apt,180,5,8,2022-06-05,0.47,1,180,4,
51295932,Woodland House by Cliftonvalley Apartments,16630323,Matt,,Hillfields,51.47093,-2.51265,Entire home/apt,166,2,5,2022-10-14,1.44,14,6,5,
51381318,"Nice one bedroom in a shared house,",403197614,Yusupha,,St George Central,51.46154,-2.53249,Private room,35,1,24,2022-12-04,1.59,2,361,21,
51394846,Beautiful 1 bedroom house close to city centre,80017730,Molly,,St George West,51.46538,-2.54182,Entire home/apt,99,1,62,2022-11-20,3.66,1,27,41,
